"•ÈÀ""LOCATION""",Country,CAT,Category,ACT,Activity,UNIT,Unit,VAR,Variable,SRC,Source,TIME,Time,Value,Flag Codes,Flags
DNK,Denmark,MAEI,3. Monetary and economic impact,COMBINED,Combined,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR44DNK,"Edible food loss - fish, seafood, sugar and sweets, spices‰Û_",SOURCE50,Kobenhavns Universitet,2011,2011,1000,,
DNK,Denmark,MAEI,3. Monetary and economic impact,COMBINED,Combined,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR45DNK,"Edible food loss - grain, grain products, fruits, vegetables, milk, dairy products, meat products",SOURCE50,Kobenhavns Universitet,2011,2011,6700,,
USA,United States,OTH,4. Others,TOTAL,Total,KG,kg,FWVAR484,Total food supply,SOURCE15,"Buzby & al., 2012",2008,2008,683.7,,
USA,United States,OTH,4. Others,TOTAL,Total,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR192,Food Supply - Added fats and oils,SOURCE15,"Buzby & al., 2012",2008,2008,123,,
USA,United States,OTH,4. Others,TOTAL,Total,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR194USA,Food Supply - Added sugar and sweetners,SOURCE15,"Buzby & al., 2012",2008,2008,45,,
USA,United States,OTH,4. Others,TOTAL,Total,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR195USA,Food Supply - Dairy products,SOURCE15,"Buzby & al., 2012",2008,2008,321,,
USA,United States,OTH,4. Others,TOTAL,Total,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR196,Food Supply - Eggs,SOURCE15,"Buzby & al., 2012",2008,2008,42,,
USA,United States,OTH,4. Others,TOTAL,Total,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR197,Food Supply - Fish and seafood,SOURCE15,"Buzby & al., 2012",2008,2008,79,,
USA,United States,OTH,4. Others,TOTAL,Total,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR201USA,Food Supply - Fruit,SOURCE15,"Buzby & al., 2012",2008,2008,204,,
USA,United States,OTH,4. Others,TOTAL,Total,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR202,Food Supply - Grain products,SOURCE15,"Buzby & al., 2012",2008,2008,114,,
USA,United States,OTH,4. Others,TOTAL,Total,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR203,Food Supply - Meat,SOURCE15,"Buzby & al., 2012",2008,2008,273,,
USA,United States,OTH,4. Others,TOTAL,Total,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR204USA,Food Supply - Meat + poultry and fish,SOURCE15,"Buzby & al., 2012",2008,2008,580,,
USA,United States,OTH,4. Others,TOTAL,Total,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR206,Food Supply - Poultry,SOURCE15,"Buzby & al., 2012",2008,2008,227,,
USA,United States,OTH,4. Others,TOTAL,Total,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR210USA,Food Supply - Tree nuts and peanuts,SOURCE15,"Buzby & al., 2012",2008,2008,36,,
USA,United States,OTH,4. Others,TOTAL,Total,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR211USA,Food Supply - Vegetables,SOURCE15,"Buzby & al., 2012",2008,2008,340,,
